movie_poster,movie_title,movie_date,movie_audience,movie_genre,movie_story,movie_review,movie_director,movie_actor,movie_cine,movie_netizens
"http://image.cine21.com/resize/cine21/poster/2020/0525/11_14_14__5ecb29f6bb44f[X230,330].jpg",킬러의 보디가드 무삭제 특별판,개봉일 : 2020-05-20,"누적관객 : 14,002명","코미디, 액션","
					
									세상 제일 잘난 맛에 사는 섭외 1순위 앵그리 보디가드가,
지명수배 1순위 구강 액션 지존 킬러를 보호하게 되면서 벌어지는,
,				",,패트릭 휴즈,"라이언 레이놀즈,사무엘 L. 잭슨,셀마 헤이엑,게리 올드만",8.00,
"http://image.cine21.com/resize/cine21/poster/2020/0526/18_00_48__5eccdac09c81e[X230,330].jpg",국도극장,개봉일 : 2020-05-29,누적관객 : 57명,드라마,"
					
									,
									만년 고시생 기태가 고향 벌교로 돌아왔다.,
사법고시가 폐지되어 고시생이라는 그 서글픈 타이틀마저 이제는 쓸 수 없게 되었다.,
유배지로 향하듯 돌아온 고향엔 그다지 반가운 사람도, 반겨주는 사람도 없다.,
,
생계를 위해 낡은 재개봉 영화관 ‘국도극장’에서 일을 시작하는 기태.,
간판장이 겸 극장 관리인 오 씨는 ‘급하시다 해서 잠깐 도와주러’ 왔다는 기태가 못마땅하다.,
,
우연히 만나게 된 동창생이자 가수 지망생 영은은 기태와 달리 24시간을 쪼개 쓰며 여러 일을 전전하고,,
밤낮없이 술에 취해 있는 오 씨는 기태의 말동무가 되어준다.,
자식들을 위해 몸 아픈 것도 돌보지 않는 엄마는 여전히 안쓰럽다.,
기태는 왠지 이 사람들과, 다시 돌아온 고향이 싫지만은 않다.,
,
,				",,전지희,"이동휘,이한위,신신애,이상희,김서하,서현우,임성재,강태우,윤영민",,
"http://image.cine21.com/resize/cine21/poster/2020/0513/15_30_32__5ebb9408ae463[X230,330].jpg",라스트 풀 메저,개봉일 : 2020-05-20,"누적관객 : 10,255명","전쟁, 드라마","
					
									,
									1966년 4월 11일, 베트남 전쟁 사상 최악의 미군 사상자를 낸 애블린 전투.,
그곳에 전우들을 구하기 위해 주저없이 뛰어든 공군 항공대원 '피츠'.,
32년이 지난 후 국방부 소속 변호사 스콧 허프만(세바스찬 스탠)은,
그날의 생존자들의 기억을 토대로,
'피츠'에게 군 최고의 영예인 명예 훈장 수여를 위해 조사하던 중,,
국가의 은폐된 진실을 알게 되고 파헤치기 시작하는데...,
​,
5월 20일, 기적을 넘어선 감동 실화가 세상에 공개된다.				","
							1966년 4월 11일, 베트남전쟁 사상 수많은 미군 사상자를 내 최악의 전투로 꼽히는 애빌린 전투가 있었다. 33년이 지난 1999년 9월, 미 국방부 공군성 소속 변호사 스콧(세바스천 스탠)은 애빌린 전투에서 60명이 넘는 군인들을 구하다 목숨을 잃은 공군 항공구조대원 의무병 윌리엄 피첸바거에게 명예훈장을 수여하기 위한 조사를 맡는다. 전우들 사이에서 피츠라는 이...							",토드 로빈슨,"세바스찬 스탠,사무엘 L. 잭슨,크리스토퍼 플러머,윌리엄 허트,에드 해리스,피터 폰다",6.33,8.50
"http://image.cine21.com/resize/cine21/poster/2020/0508/56160_5eb4f1ba68155[X230,330].jpg",저 산 너머,개봉일 : 2020-04-30,"누적관객 : 101,963명",드라마,"
					
									,
									1928년 일제강점기, 세상에서 가장 사랑하는 엄마와 아픈 아버지를 위해,
신부보다 인삼장수가 되고 싶은 7살 소년 수환은,
자신의 마음밭에 심어진 믿음의 씨앗을 키워가며 저 산 너머에 있을 고향을 찾아간다				","
							독실한 천주교 집안의 막내 수환(이경훈)은 동네에서 ‘순한’이라고 불릴만큼 선한 심성을 지녔다. 교실에서 방귀를 뀐 친구가 부끄러워할까봐 수환 자신이 부끄러워하고, 시집간 누이가 낳은 또래의 조카와 몸싸움을 벌인 끝에 이기고 나서도 연민의 감정이 들어 고개를 파묻고 눈물을 흘린다. <저 산 너머>는 고 김수환 추기경의 어린 시절을 소박하게 그린 드라마다. ...							",최종태,"이항나,이경훈,안내상,강신일,송창의,이열음",5.00,8.00
"http://image.cine21.com/resize/cine21/poster/2020/0428/11_51_19__5ea79a2731d16[X230,330].jpg",프리즌 이스케이프,개봉일 : 2020-05-06,"누적관객 : 145,243명","어드벤처, 스릴러","
					
									,
									인권운동가 ‘팀’과 ‘스티븐’은 억울한 판결로 투옥된다.,
둘은 불의에 굴복하지 않고 탈출을 결심한다. ,
나가기 위해 열어야 할 강철 문은 15개!,
그들은 나뭇조각으로 열쇠를 만들기 시작하고,,
지금껏 아무도 성공한 적 없는 0%의 확률 속에서 ,
목숨을 건 단 한 번의 기회를 노리는데…,
				",,프란시스 아난,"다니엘 래드클리프,다니엘 웨버,이안 하트,마크 레너드 윈터",6.00,7.00
"http://image.cine21.com/resize/cine21/poster/2020/0414/10_43_16__5e951534a409c[X230,330].jpg",패왕별희,개봉일 : 2020-05-01,누적관객 : 27명,드라마,"
					
									어렸을 때부터 함께 경극을 해온 ‘두지’(장국영)와 ‘시투’(장풍의). ,
세상에 둘도 없는 절친한 아우와 형이지만, ,
‘두지’는 남몰래 ‘시투’에 대한 마음을 품고 있다.,
,
하지만 ‘시투’는 여인 ‘주샨’(공리)에 마음을 빼앗기고, ,
그로 인해 ‘두지’는 감정의 소용돌이에 빠지게 되는데…,
,
,				",,첸 카이거,"장국영,공리,장풍의,게유",8.40,
"http://image.cine21.com/resize/cine21/poster/2020/0506/12_02_33__5eb228c917c1e[X230,330].jpg",트롤: 월드 투어,개봉일 : 2020-04-29,"누적관객 : 145,911명",애니메이션,"
					
									,
									노래와 춤을 즐기며 평화로운 나날을 보내던 팝 트롤 ‘파피’와 ‘브랜치’ 그리고 친구들.,
어느 날 ‘파피’는 자신들 외에도 서로 다른 외모와 노래를 가진 5개의 트롤 마을이 더 있다는 것을 알게 된다.,
,
모두와 친구가 되어 신나게 지내고 싶은 ‘파피’와 달리,,
록 트롤 마을의 여왕 ‘바브’는 록을 제외한 모든 음악을 없애기 위해 다른 트롤 마을들을 하나씩 파괴하기 시작하고,
‘파피’는 위기에 빠진 트롤 세계를 구하기 위해 친구들과 위험천만한 모험을 떠나게 되는데…				","
							전편 <트롤>(2016)에서처럼 흥 넘치는 시간을 보내던 팝 트롤들에게 위기가 닥친다. 팝 트롤 여왕이 된 파피(안나 켄드릭)와 그의 친구 브랜치(저스틴 팀버레이크)는 서로 다른 외모와 음악을 가진 다섯개의 트롤 마을이 있다는 사실을 비로소 알게 된다. 새로운 세상을 만날 생각에 신난 팝 트롤들과 달리 록 트롤 마을의 여왕 바브(레이첼 블룸)는 다른 트롤 ...							","월트 도른,데이빗 P. 스미스","안나 켄드릭,저스틴 팀버레이크,샘 록웰,제이미 도넌,쿠널 나이어,제임스 코든,론 푼체스,월트 도른",6.33,7.00
"http://image.cine21.com/resize/cine21/poster/2020/0417/15_43_06__5e994ffa61761[X230,330].jpg",레이니 데이 인 뉴욕,개봉일 : 2020-05-06,"누적관객 : 85,999명",멜로·로맨스,"
					
									상상해 봐요,
막 떨어지기 시작한 빗방울,
센트럴 파크 델라코트 시계 아래,
누군가 당신을 기다리고 있다면…,
 ,
재즈를 사랑하는 ‘개츠비’(티모시 샬라메),
영화에 푹 빠진 ‘애슐리’(엘르 패닝),
낭만을 꿈꾸는 ‘챈’(셀레나 고메즈),
매력적인 세 남녀가 선사하는 낭만적인 하루!,
,
운명 같은 만남을 기대하며,
봄비 내리는 뉴욕에서,
로맨틱한 하루를 함께 하실래요?				","
							개츠비(티모시 샬라메)와 애슐리(엘르 패닝)는 대학에서 함께 신문을 제작하다 연인으로 발전했다. 애슐리는 곧 새 영화를 발표할 롤란 폴라드 감독(리브 슈라이버)의 인터뷰를 맡게 되었고, 인터뷰가 끝난 후 근사한 데이트를 할 계획으로 두 사람은 함께 뉴욕으로 향한다. 인터뷰 도중 롤란 폴라드 감독은 애슐리에게 자신의 신작을 보여주겠다는 제안을 하는데 관람 도중 자신의 ...							",우디 앨런,"티모시 샬라메,엘르 패닝,셀레나 고메즈,주드 로,디에고 루나,리브 슈라이버,체리 존스,그리핀 뉴먼,레베카 홀,수키 워터하우스",4.67,4.50
"http://image.cine21.com/resize/cine21/poster/2020/0507/11_26_17__5eb371c92de9c[X230,330].jpg",더 플랫폼,개봉일 : 2020-05-13,"누적관객 : 57,291명","스릴러, SF","
					
									0 … 33 … 101 …,
30일마다 랜덤으로 레벨이 바뀌는 극한 생존의 수직 감옥 ‘플랫폼’,
최상위 레벨 0에서 아래로 내려갈수록 음식도 인간성도 바닥나는데…,
2020.05.13. 레벨이 바뀐다!				","
							구덩이라 불리는 곳은 끝이 어디인지 알 수 없을 만큼 깊은 수직 감옥이다. 콘크리트가 아래로 이동하면서 수감자들에게 그 위에 놓인 음식을 먹을 수 있게 하는데, 아래층 수감자는 위층에서 먹다 남긴 걸 먹어야 하는 형국이다. 48층에서 눈을 뜬 주인공 고렝(이반 마사구에)은 심술궂은 노인 트리마가시(조리온 에귈레오)가 음식을 먹고 난 뒤 아래층 수감자들을 골려주기 위해...							",가더 가츠테루 우루샤,"이반 마사구에,조리온 에귈레오,안토니아 산 후안",6.33,7.00
"http://image.cine21.com/resize/cine21/poster/2020/0424/18_24_23__5ea2b047bd801[X230,330].jpg",보이콰이어,개봉일 : 2020-05-14,"누적관객 : 2,081명",드라마,"
					
									세상에 마음을 열지 못하는 반항아 ‘스텟’은 ,
어느 날 교장 선생님의 권유로 뜻하지 않게,
최고의 실력자만 모였다는 국립 소년 합창단 입학시험을 치른다.,
,
한 번도 음악 교육을 받은 적 없는 ‘스텟’의 숨겨진 재능을 엿본,
단장 ‘카르벨레’는 그에게 혹독한 교육을 넘어 인생의 가르침을 전하게 된다.,
,
방황과 혼란에서 벗어나지 못했던 ‘스텟’은,
그의 가르침 속에서 처음으로 꿈과 희망을 느끼고,
조금씩 변화하기 시작하는데…,
,
,				","
							몸과 마음의 집을 잃은 소년 스텟(개릿 워레잉)은 그의 노래 실력을 알아본 교장 선생님 덕에 국립소년합창단 오디션 기회를 얻는다. 가까스로 합창단원이 된 스텟은 단장이자 지휘자인 카르벨레(더스틴 호프먼)를 만나 자기 안의 목소리를 발견해나간다. 반항아가 좋은 스승을 만나 역경을 딛고 자란다는 빤한 스토리에 갈등이 손쉽게 사그라들지만, 어린 재능을 지켜주려 애쓰는 어른...							",프랑소와 지라르,"더스틴 호프만,캐시 베이츠,조쉬 루카스,가렛 워레잉,데브라 윙거,에디 이자드,케빈 맥헤일",5.00,
