movie_poster,movie_title,movie_date,movie_audience,movie_story,movie_review,movie_actor,movie_cine,movie_netizens
"http://image.cine21.com/resize/cine21/poster/2020/0506/12_02_33__5eb228c917c1e[X230,330].jpg",트롤: 월드 투어,개봉일 : 2020-04-29,"누적관객 : 139,444명","
					
									,
									노래와 춤을 즐기며 평화로운 나날을 보내던 팝 트롤 ‘파피’와 ‘브랜치’ 그리고 친구들.,
어느 날 ‘파피’는 자신들 외에도 서로 다른 외모와 노래를 가진 5개의 트롤 마을이 더 있다는 것을 알게 된다.,
,
모두와 친구가 되어 신나게 지내고 싶은 ‘파피’와 달리,,
록 트롤 마을의 여왕 ‘바브’는 록을 제외한 모든 음악을 없애기 위해 다른 트롤 마을들을 하나씩 파괴하기 시작하고,
‘파피’는 위기에 빠진 트롤 세계를 구하기 위해 친구들과 위험천만한 모험을 떠나게 되는데…				","
							
전편 <트롤>(2016)에서처럼 흥 넘치는 시간을 보내던 팝 트롤들에게 위기가 닥친다. 팝 트롤 여왕이 된 파피(안나 켄드릭)와 그의 친구 브랜치(저스틴 팀버레이크)는 서로 다른 외모와 음악을 가진 다섯개의 트롤 마을이 있다는 사실을 비로소 알게 된다. 새로운 세상을 만날 생각에 신난 팝 트롤들과 달리 록 트롤 마을의 여왕 바브(레이첼 블룸)는 다른 트롤 ...							","월트 도른,데이빗 P. 스미스",6.33,7.00
"http://image.cine21.com/resize/cine21/poster/2020/0131/10_49_00__5e33878cbffbc[X230,330].jpg","하이, 젝시",개봉일 : 2020-02-19,,"
					
									기상 알람을 시작으로 샤워하면서 BGM, 출근하면서 네비게이션,,
퇴근 후 배달앱과 너튜브, 잠들기 전 SNS까지,
손에서 도무지 핸드폰을 놓지 못하는 폰생폰사 ‘필’ ,
,
어느 날, ‘필’은 베프였던 ‘시리’의 사망으로 새 폰 ‘젝시’를 만나게 된다.,
그렇게 집, 회사 무한 루프의 평온한 삶으로 다시 돌아갈 줄 알았던 ‘필’,
하지만 더 나은(?) 인생을 위한 인공지능 도우미 ‘젝시’는,
‘필’의 직장, 친구 그리고 연애까지 제멋대로 그의 인생에 끼어들기 시작하는데…,
,
,				","
							
저널리스트를 꿈꾸며 언론사에 입사했으나 ‘라이언 고슬링 닮은 고양이 리스트’를 써야 하는 필(애덤 더바인)은 SNS 속 세상에서만 그럴듯한 남자다. 동료들의 모임 제안도 뿌리치고 집에서 배달 앱으로 저녁을 해결한 그는 감성적인 문구와 함께 엄청난 보정을 거친 창밖 풍경을 페이스북에 업로드하며 흡족해한다. 손바닥 안 화면에서 눈을 떼지 않던 필은 결국 출근길에 휴대폰을...							",스캇 무어,6.00,5.50
"http://image.cine21.com/resize/cine21/poster/2019/1212/15_01_22__5df1d7b2c61dc[X230,330].jpg",캣츠,개봉일 : 2019-12-24,,"
					
									,
									1년에 단 하루, 새로운 삶을 살 수 있는 고양이를 선택하는 운명의 밤.,
기적 같은 기회를 잡기 위한 축제가 점점 무르익는 동안 뜻하지 않은 위기가 찾아오는데…				","
							
세계 4대 뮤지컬 중 하나로 꼽히는 <캣츠>는 1981년 초연 이후 전세계 30여개 국가에서 공연된 스테디셀러다. T. S. 엘리엇의 동시집을 원작으로 한 뮤지컬은 1년에 단 하루 새로운 삶을 살 수 있는 고양이를 뽑는 신비한 밤을 배경으로 한다. 단순한 스토리라인에 동화 같은 상상력으로 고양이의 매력을 표현한 작품인 만큼 독특한 율동과 다채로운 현대무용,...							",톰 후퍼,5.00,6.33
"http://image.cine21.com/resize/cine21/poster/2019/1004/12_10_28__5d96b82417352[X230,330].jpg",더 데이 쉘 컴,,,줄거리가 없습니다.,,크리스 모리스,,
"http://image.cine21.com/resize/cine21/poster/2018/0104/11_40_31__5a4d941fd6f96[X230,330].jpg",원더 휠,개봉일 : 2018-01-25,,"
					
									,
									웨이트리스로 일하는 지니는 해변의 안전요원 믹키와 사랑에 빠진다.,
,
예상치 못한 캐롤라이나가 등장하며 ‘코니 아일랜드’ 에서 우연처럼 만난 세 남녀의 엇갈리는 로맨스가 시작된다				","
							
뉴욕, 코니 아일랜드에서 웨이트리스로 일하는 지니(케이트 윈슬럿)의 삶은 팍팍하다. 일은 지겹고, 어린 아들은 방화를 일삼으며, 남편 험티(짐 벨루시)에 대한 애정은 더이상 남아 있지 않다. 그녀의 삶에서 유일한 낙은 해변 안전요원으로 일하는 믹키(저스틴 팀버레이크)와의 사랑뿐이다. 지니는 믹키와 함께 지긋지긋한 코니 아일랜드를 떠날 날만을 꿈꾸며 하루하루 살아간다....							",우디 앨런,6.20,7.00
"http://image.cine21.com/resize/cine21/poster/2017/0201/10_59_13__589140f153e26[X230,330].jpg",트롤,개봉일 : 2017-02-16,,"
					
									,
									모두가 행복한 트롤 왕국의 긍정공주 '파피',
노래와 춤이 끊이지 않던 트롤 왕국에 우울종결자 '버겐'이 쳐들어온다!,
 ,
'파피'는 '버겐'에게 납치된 친구들을 구하기 위해,
걱정병 친구 '브랜치'와 함께 위험천만한 모험을 떠난다.,
 ,
사사건건 충돌하는 '파피'와 '브랜치'는 힘겹게 버겐 타운에 도착하는데...,
,
,				","
							
춤추고 노래하고 서로 안아주며 정답게 살아가는 트롤족. 반면 옆동네 버겐족은 늘 우울에 젖어 있다. 어느 날, 버겐들 사이에서 트롤을 먹으면 행복해진다는 속설이 돈다. 덩치 큰 버겐들은 ‘트롤데이’라는 기념일을 만들어 트롤들을 마구 잡아먹기에 이른다. 트롤 종족의 지혜로운 지도자 패피왕은 땅굴을 파 버겐에게서 백성들을 데리고 도망친다. 이후 20년의 세월이 흐른다. ...							","마이크 미첼,월트 도른",6.00,6.25
"http://image.cine21.com/resize/cine21/poster/2018/1226/13_47_56__5c2307fc92c06[X230,330].jpg",세컨드 액트,,,줄거리가 없습니다.,,피터 시걸,,
"http://image.cine21.com/resize/cine21/poster/2020/0220/10_46_42__5e4de50271931[X230,330].jpg",판타지 아일랜드,,,줄거리가 없습니다.,,제프 와드로,,
"http://image.cine21.com/resize/cine21/poster/2019/0426/14_14_00__5cc29398673b4[X230,330].jpg",어글리 돌,개봉일 : 2019-05-01,,"
					
									,
									춤과 노래가 멈추지 않는 행복 마을 ‘어글리 빌’에 사는 ,
사랑둥이 인싸돌 ‘모씨’는 마을 바깥에 어떤 세상이 있을지 늘 궁금해한다.,
모씨는 친구 ‘어글리 독’, ‘웨이지’, ‘럭키 뱃’, ‘바보’와 함께 파이프 건너편으로 모험을 떠나기로 결심하고,
외모도 성격도 너무 완벽한 ‘퍼펙션 스쿨’의 ‘루’와 ‘맨디‘를 만나 새롭고 짜릿한 세상을 경험한다!,
퍼펙션 스쿨에서 최고의 애착 인형이 되기 위한 스파르타 수업에 몰두하던 이들은 인형들의 숨겨진 진실을 마주하고 마는데…,
,
,				","
							
미국의 데이비드 호바스와 한국의 김선민 작가 커플이 만든 인형/피겨 브랜드 ‘어글리 돌’이 애니메이션으로 만들어졌다. ‘어글리 빌’에 사는 모씨는 마을 밖의 ‘빅 월드’를 궁금해한다. 모씨는 언제나 빅 월드에 대한 상상을 멈추지 않지만 갈 수 있는 방법을 몰라 친구들과 모험을 떠나기로 한다. 모씨 일행은 ‘퍼펙션 스쿨’의 루와 맨디를 만나면서 최고의 애착 인형으로 거...							",캘리 애스버리,6.00,
"http://image.cine21.com/resize/cine21/poster/2020/0116/11_16_16__5e1fc77019ba1[X230,330].jpg",라이크 어 보스,,,줄거리가 없습니다.,,미구엘 아테타,,
