ROT_movieName,ROT_Cscore,ROT_Uscore
The Half of It,"96%","81%"
True History of the Kelly Gang,"78%","43%"
Beastie Boys Story,"94%","86%"
Crystal Swan,"100%","74%"
The Lovebirds,"67%","52%"
Vampire Burt's Serenade,,
Made in Bangladesh,"100%",
The Ballad of Esequiel Hernández,,"76%"
RAD,"0%","91%"
Olympic Dreams,"68%","62%"
Premature,"94%","71%"
Something,"40%","62%"
Scoob!,"50%","63%"
Dreamland,"60%",
Shirley,"95%",
James VS His Future Self,"100%","69%"
Liberté,"69%",
The Sound of the Wind,,
The Wretched,"74%",
Dream Horse,,
The Last Vermeer,,
Batsh*t Bride,"86%",
Mother's Little Helpers,,
