movie_poster,movie_title,movie_engtitle,movie_date,movie_audience,movie_genre,movie_story,movie_review,movie_director,movie_actor,movie_cine,movie_netizens
"http://image.cine21.com/resize/cine21/poster/2020/0508/56160_5eb4f1ba68155[X230,330].jpg",저 산 너머,,개봉일 : 2020-04-30,"누적관객 : 103,118명",드라마,"
					
									,
									1928년 일제강점기, 세상에서 가장 사랑하는 엄마와 아픈 아버지를 위해,
신부보다 인삼장수가 되고 싶은 7살 소년 수환은,
자신의 마음밭에 심어진 믿음의 씨앗을 키워가며 저 산 너머에 있을 고향을 찾아간다				","
							독실한 천주교 집안의 막내 수환(이경훈)은 동네에서 ‘순한’이라고 불릴만큼 선한 심성을 지녔다. 교실에서 방귀를 뀐 친구가 부끄러워할까봐 수환 자신이 부끄러워하고, 시집간 누이가 낳은 또래의 조카와 몸싸움을 벌인 끝에 이기고 나서도 연민의 감정이 들어 고개를 파묻고 눈물을 흘린다. <저 산 너머>는 고 김수환 추기경의 어린 시절을 소박하게 그린 드라마다. ...							",최종태,"이항나,이경훈,안내상,강신일,송창의,이열음,황현빈,임한빈,우현,김영재",5.00,8.00
"http://image.cine21.com/resize/cine21/poster/2020/0521/15_24_08__5ec61e88c259a[X230,330].jpg",루팡 3세: 더 퍼스트,"ルパン三世 The First,Lupin III: The First",개봉일 : 2020-05-21,"누적관객 : 8,808명",애니메이션,"
					
									세상의 운명을 바꿀 비밀이 담겨 있는 브레송 다이어리.,
어느 날, 다이어리가 전시된 브레송 회고전에 ‘루팡 3세’의 예고장이 날아들고, 다이어리를 노리는 비밀 조직 역시 고고학도 ‘레티시아’를 이용해 이를 가로채려고 하는데…,
 ,
,				",,야마자키 다카시,"쿠리타 칸이치,히로세 스즈,후지와라 타츠야",,
"http://image.cine21.com/resize/cine21/poster/2020/0522/15_37_26__5ec773265718e[X230,330].jpg",카메론 포스트의 잘못된 교육,The Miseducation of Cameron Post,개봉일 : 2020-06-04,"누적관객 : 2,211명",드라마,"
					
									,
									지극히 평범한 일상을 보내는 소녀 ‘카메론’은,
자신의 연인 ‘콜리’와 아슬아슬한 관계를 이어가다,
보수적인 가족들에 의해 작은 교회가 운영하는,
‘동성애 치료 센터’에 강제 입소하게 된다.,
자신의 성 정체성을 부정하고 교육하는 학교에서,
‘카메론’은 진짜 자신의 모습을 찾아 나서는데…				","
							아슬아슬한 연애를 이어가던 카메론(클로이 머레츠)과 콜리(퀸 셰퍼드)는 졸업 파티에서 예기치 못한 상황을 맞이한다. 결국 이들의 비밀이 공개되고, 카메론은 가족들에 의해 교회에서 운영하는 동성애 치료 센터에 입소하게 된다. 센터를 운영하는 마쉬 박사(제니퍼 엘)와 릭 목사(존 갤러거 주니어)에 의하면 애초에 동성애는 존재하지 않는 개념이다. 동성에게 끌리는 ‘죄’만이...							",디자이리 아카반,"클로이 모레츠,제니퍼 엘,사샤 레인,퀸 쉐퍼드,마린 아일랜드,존 갤러거 주니어",6.00,
"http://image.cine21.com/resize/cine21/poster/2020/0513/10_56_17__5ebb53c1f2191[X230,330].jpg",비커밍 제인,Becoming Jane,개봉일 : 2020-05-21,"누적관객 : 216,723명","멜로·로맨스, 드라마","
					
									영국 햄프셔에서 작가를 꿈꾸던 제인 오스틴 앞에 나타난,
부와 명예를 가진 청혼남 위슬리와,
도시에서 온 가난한 변호사 톰 르프로이,
,
인생을 바꿀 선택의 기로에 선 제인은,
자신만의 방식으로 사랑에 전부를 바치는데…				","
							<오만과 편견> <센스, 센서빌리티> <설득> 등. 제인 오스틴의 여자들은 항상 돈과 사랑을 두고 겨룬다. 극성인 어머니와 예의와 이성에 따라 행동하려는 딸의 구도로 벌어지는 싸움이지만 이는 그 시대 여성들이 고민해야 하는 상반된 두 가지 요소를 반영한다. 가부장 중심적인 사회에서 좋은 가문과 결혼해 지극히 평범한 삶을 이어갈지, 자신...							",줄리안 자롤드,"앤 해서웨이,제임스 맥어보이,줄리 월터스,매기 스미스,제임스 크롬웰,안나 맥스웰 마틴,로렌스 폭스",6.00,7.41
"http://image.cine21.com/resize/cine21/poster/2020/0511/15_00_18__5eb8e9f266b37[X230,330].jpg",싸커 퀸즈,Queens of the Field,개봉일 : 2020-05-27,"누적관객 : 1,505명","코미디, 드라마","
					
									,
									축구의 도시 클루리에,,
오래된 전통을 가진 챔피언 축구 클럽 SPAC은,
결승전을 앞두고 해체 위기에 놓이게 된다.,
,
코치 ‘마르코’는 클럽을 살리기 위해,
정예 여자 선수단을 모집하고,,
필드 근처에도 가보지 못한 초보 선수들과,
웃픈 상황 속 특급 훈련을 시작하는데…,
,
과연, 그들은 마지막 경기에서 우승할 수 있을까?				","
							프랑스의 작은 마을 클루리에의 90년 전통을 자랑하는 축구팀은 경기도중 몸싸움을 벌여 시즌 결승전 3경기를 남기고 출전이 금지된다. 설상가상으로 대체 선수를 구하지 못하면 축구 클럽이 와해될 위기에 놓인다. 팀의 코치인 마르코(카드 므라드)는 주변의 반대에도 불구하고 여자 팀을 구성하기로 결정한다. 클럽 회계 담당 스테파니(셀린 살레트), 클럽설립자의 손녀이자 운영자...							",모하메드 하미디,"카드 므라드,알반 이바노프,셀린느 살레트,사브리나 와자니,로르 칼라미,귀욤 고익스",6.00,
"http://image.cine21.com/resize/cine21/poster/2020/0520/14_55_10__5ec4c63e80acd[X230,330].jpg",아홉 스님,,개봉일 : 2020-05-27,"누적관객 : 17,192명",다큐멘터리,"
					
									,
									한국 불교 역사상 최초, 천막 동안거를 통해 정진하게 된 아홉 스님들.,
살을 에는 한겨울, 난방 기구 하나 없이 폐쇄된 천막에서,
7개의 엄격한 규칙과 함께 참선의 90일이 시작되고,,
단 한 벌의 옷과 하루 한 끼의 극한 수행을 버티면서도,
신음 소리 한 번 내지 않던 스님들에게 위기가 찾아오는데….,
,
,				","
							아홉 스님들이 2019년 11월부터 90일간 극한의 천막 동안거를 시작한다. 사찰을 벗어난 노숙 수행을 계획했던 것이 비닐로 지은 무문관 천막 노숙 정진으로 이어진 것으로, <아홉 스님>은 그 수행의 과정을 기록한 다큐멘터리다. 천막 동안거 기간 스님들은 7가지 규칙을 지켜야 한다. 하루 14시간 이상 정진하고, 공양은 하루 한끼만 하며, 한벌의 옷으로 9...							",윤성준,"자승,무연,진각,호산,성곡,재현,심우,도림,인산",5.50,
"http://image.cine21.com/resize/cine21/poster/2020/0506/18_58_11__5eb28a3322aea[X230,330].jpg","안녕, 미누",Free Minu,개봉일 : 2020-05-27,"누적관객 : 1,808명",다큐멘터리,"
					
									고향집 뒷산 히말라야는 몰라도 ‘목포의 눈물’이 애창곡인 네팔사람 ‘미누’.,
스무 살에 한국에 와 식당일부터 봉제공장 재단사, 밴드 보컬까지 18년.,
한국을 누구보다 사랑하며 청춘을 바쳤지만 11년 전 강제 추방당했다.,
네팔로 돌아가 어엿한 사업가로 성장하고도 한국이 사무치게 그립다.,
그런 미누를 위해 옛 밴드 멤버들이 네팔에 날아와 함께 무대에 선다.,
눈에는 눈물이 맺히고, 마이크를 잡은 목장갑 손이 한없이 떨리는 미누.,
꿈만 같던 공연이 끝나고 미누는 “나 이제 죽어도 좋아”라며 환히 웃는데…,
​,
,				","
							<안녕, 미누>는 한국 이름 ‘미누’로 살면서, 한국 노래를 유창하고 구슬프게 불렀던 네팔 남자 미노드 목탄에 관한 기록이다. 미누는 1992년 20살에 한국에 와 청년기 내내 식당과 공장을 오가며 노동했고, 일하지 않을 땐 밴드 보컬로 활동했다. 그러나 11년 전, 정부는 미등록 이주노동자인 미누를 강제추방했고 그는 고국으로 돌아가야만 했다. <안녕...							",지혜원,"미노드 목탄,소모뚜,소띠하",6.33,10.00
"http://image.cine21.com/resize/cine21/poster/2020/0514/15_00_45__5ebcde8d07d39[X230,330].jpg","조금씩, 천천히 안녕","長いお別れ,A Long Goodbye",개봉일 : 2020-05-27,"누적관객 : 5,560명","드라마, 가족","
					
									,
									아버지의 70번째 생일날,,
두 딸 ‘마리’와 ‘후미’를 불러 모은 어머니는,
아버지가 치매에 걸렸다는 충격적인 소식을 전한다. ,
,
“많은 것들이 점점 멀어져…”,
,
‘후미’네 가족은 서서히 기억을 잃어가는 아버지와 헤어짐을 준비하며,
자신의 아픔과 서로의 상처를 조금씩 보듬어가기 시작하는데…,
,
,				","
							2007년, 아버지 쇼헤이(야마자키 쓰토무)의 70번째 생일을 맞아 어머니 요코(마쓰바라 지에코)가 딸들을 부른다. 결혼 후 미국에 살고있는 첫째 딸 마리(다케우치 유코)와 자신만의 식당을 열고 싶어 하는 둘째 딸 후미(아오이 유우)다. 아버지가 이전과 다르다는 것을 눈치챈 두딸은 그가 치매에 걸렸다는 것을 알게 된다. 그렇게 아버지의 병과 함께 가족의 시간은 흘러간...							",나카노 료타,"아오이 유우,다케우치 유코,마츠바라 치에코,야마자키 츠토무,키타무라 유키야,나카무라 토모야,코이치 만타로",6.33,
"http://image.cine21.com/resize/cine21/poster/2020/0514/15_40_47__5ebce7ef6c098[X230,330].jpg",미스비헤이비어,Misbehaviour,개봉일 : 2020-05-27,"누적관객 : 24,776명",드라마,"
					
									,
									여자라는 이유만으로 학계에서 무시당하지만,
실력으로 이기겠다는 여성 운동가이자 역사가 ‘샐리’(키이라 나이틀리),
​,
성적 대상화의 주범 미스월드에,
한 방 먹일 작전을 짠 페미니스트 예술가 ‘조’(제시 버클리),
​,
역사상 최초의 미스 그레나다로서,
흑인 아이들에게 희망을 전하고 싶은 ‘제니퍼’(구구 바샤-로),
​,
1970년, 달 착륙과 월드컵 결승보다 더 많은 1억 명이 지켜본 ‘미스월드’,
​,
성적 대상화를 국민 스포츠로 만든 미스월드에 맞서,
자신의 스타일대로 진정한 자유를 외친 여성들의 유쾌한 반란이 시작된다!				","
							1970년 런던. 한쪽에선 신체 사이즈로 여성의 몸을 평가하는 ‘미스월드’대회 준비가 한창이고, 또 다른 쪽에선 여성을 성적 대상화하는 미인대회에 반대하는 여성해방운동의 움직임이 일고 있다. 대학에서 역사를 공부하는 샐리(키라 나이틀리)는 여성 컨퍼런스에서 만난 페미니스트 예술가 조(제시 버클리)와 함께 미스월드 반대 시위를 준비한다. 한편 미스월드 대회에 출전한 최...							",필립파 로소프,"키이라 나이틀리,제시 버클리,구구 바샤-로,수키 워터하우스,레슬리 맨빌,킬리 호위스,리스 이판,그렉 키니어,필리스 로건,필리스 로건",6.00,8.00
"http://image.cine21.com/resize/cine21/poster/2020/0429/10_48_07__5ea8dcd71cd28[X230,330].jpg",초미의 관심사,Jazzy Misfits,개봉일 : 2020-05-27,"누적관객 : 14,876명",드라마,"
					
									,
									이태원에서 가수 ‘블루로 활동하며 주가를 올리고 있는 ‘순덕’(김은영).,
어느 날 성격 차이로 별거(?) 중이었던 엄마(조민수)가 들이닥쳐 엄청난 소식을 전한다.,
막내가 엄마의 가겟세와 ‘순덕’의 비상금을 들고 튀었다는 것!,
,
괘씸한 막내를 쫓기 위해 두 사람은 단 하루, 손을 잡기로 합의하고 이태원을 누비기 시작한다.,
그러나 극과 극의 성격을 가진 두 사람은 사사건건 부딪히기 시작하고,,
추적 끝에 밝혀지는 막내의 비밀은 수상하기 짝이 없는데...,
,
,				","
							‘블루’라는 예명으로 가수 활동 중인 순덕(김은영)은 어느 날 엄마(조민수)의 갑작스러운 방문에 당황한다. 자유로운 영혼이면서 한편으론 불같은 성질을 지닌 엄마는 오랜만에 만난 순덕에게 다짜고짜 화를 낸다. 다름 아닌 막내 유리(최지수)가 엄마의 가겟세를 갖고 달아났다는 것. 심드렁하던 순덕은 자신의 비상금마저 동생 유리에게 털렸다는 것을 알게 되자 엄마와 함께 동생...							",남연우,"조민수,치타,테리스 브라운",6.25,7.00
